dt,sale_amount,product_id,name_products,tipo_producto_app,store_id,first_category_id,second_category_id,third_category_id,discount,holiday_flag,activity_flag,mes,dia_mes,dia_semana,fin_semana,horas_con_stock,venta_lag_1,venta_lag_7,venta_promedio_7d,venta_promedio_14d,stock_lag_1
2024-03-28,68.64,001,Metotrexato 500mg,Clinico,0,20,50,24,0.996,0,0,3,28,3,0,3,,,,,
2024-03-29,67.59,001,Metotrexato 500mg,Clinico,0,20,50,24,0.997,0,0,3,29,4,0,0,68.64,,68.64,68.64,3.0
2024-03-30,69.27,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,1,0,3,30,5,1,0,67.59,,68.11500000000001,68.11500000000001,0.0
2024-03-31,69.23,001,Metotrexato 500mg,Clinico,0,20,50,24,0.999,1,0,3,31,6,1,2,69.27,,68.5,68.5,0.0
2024-04-01,68.56,001,Metotrexato 500mg,Clinico,0,20,50,24,0.997,0,0,4,1,0,0,2,69.23,,68.6825,68.6825,2.0
2024-04-02,68.73,001,Metotrexato 500mg,Clinico,0,20,50,24,0.993,0,0,4,2,1,0,1,68.56,,68.658,68.658,2.0
2024-04-03,66.14,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,0,0,4,3,2,0,0,68.73,,68.67,68.67,1.0
2024-04-04,69.55,001,Metotrexato 500mg,Clinico,0,20,50,24,0.997,1,0,4,4,3,0,4,66.14,68.64,68.30857142857143,68.30857142857143,0.0
2024-04-05,68.18,001,Metotrexato 500mg,Clinico,0,20,50,24,0.996,1,0,4,5,4,0,3,69.55,67.59,68.43857142857144,68.46375,4.0
2024-04-06,34.51,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,1,0,4,6,5,1,11,68.18,69.27,68.52285714285713,68.43222222222222,3.0
2024-04-07,68.99,001,Metotrexato 500mg,Clinico,0,20,50,24,0.997,0,0,4,7,6,1,0,34.51,69.23,63.557142857142864,65.03999999999999,11.0
2024-04-08,68.8,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,0,0,4,8,0,0,1,68.99,68.56,63.52285714285714,65.3990909090909,0.0
2024-04-09,69.76,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,0,0,4,9,1,0,0,68.8,68.73,63.55714285714286,65.6825,1.0
2024-04-10,69.58,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,0,0,4,10,2,0,0,69.76,66.14,63.70428571428571,65.99615384615385,0.0
2024-04-11,66.47,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,0,0,4,11,3,0,3,69.58,69.55,64.19571428571429,66.25214285714286,0.0
2024-04-12,69.27,001,Metotrexato 500mg,Clinico,0,20,50,24,0.999,0,0,4,12,4,0,2,66.47,68.18,63.75571428571429,66.09714285714286,3.0
2024-04-13,68.87,001,Metotrexato 500mg,Clinico,0,20,50,24,1.0,1,0,4,13,5,1,2,69.27,34.51,63.91142857142857,66.21714285714286,2.0
