Producto,Categoria,Stock_Actual,Punto_Reorden,Cantidad_Pedido,Fecha_Recepcion,Ultimo_Pedido,Fecha_Vencimiento,Volumen_Consumo,Tasa_Rotacion,Estado,Lead_Time_Check,Dias_para_Vencimiento,Estado_Vencimiento
Aceite vegetal,Oils & Fats,30,40,32,2026-07-07,2026-07-03,2026-08-10,36,1.2,Reorden,4.0,37,Seguro
Agua embotellada,Beverages,45,49,19,2026-07-07,2026-07-02,2026-08-17,44,0.98,Reorden,5.0,44,Seguro
Alcohol en Gel 70%,Higiene,76,71,7,2026-07-07,2026-07-01,2026-08-24,64,0.84,Activo,6.0,51,Seguro
Arroz extra,Grains & Pulses,73,59,0,2026-07-07,2026-06-30,2026-08-31,54,0.74,Activo,7.0,58,Seguro
Arveja partida,Grains & Pulses,68,48,0,2026-07-07,2026-06-29,2026-09-07,44,0.65,Activo,8.0,65,Seguro
Atun en conserva,Seafood,88,56,0,2026-07-07,2026-06-28,2026-09-14,51,0.58,Activo,9.0,72,Seguro
Avena,Grains & Pulses,32,54,39,2026-07-07,2026-06-27,2026-09-21,49,1.53,Reorden,10.0,79,Seguro
Azucar rubia,Pantry,35,47,30,2026-07-07,2026-06-26,2026-09-28,42,1.2,Reorden,11.0,86,Seguro
Camote,Fruits & Vegetables,49,54,21,2026-07-07,2026-06-25,2026-10-05,49,1.0,Reorden,12.0,93,Seguro
Carne de cerdo,Meat & Poultry,46,43,19,2026-07-07,2026-06-24,2026-10-12,39,0.85,Activo,13.0,100,Seguro
Carne de res,Meat & Poultry,70,56,1,2026-06-26,2026-06-23,2026-10-19,51,0.73,Activo,3.0,107,Seguro
Cateter Endovenoso 24G,Soporte,103,73,0,2026-06-26,2026-06-22,2026-10-26,67,0.65,Activo,4.0,114,Seguro
Cateter Port-a-Cath,Soporte,90,57,0,2026-06-26,2026-06-21,2026-11-02,52,0.58,Activo,5.0,121,Seguro
Cebolla roja,Fruits & Vegetables,30,51,39,2026-06-26,2026-06-20,2026-11-09,46,1.53,Reorden,6.0,128,Seguro
Ceftriaxona 1g,Antibióticos,26,35,54,2026-06-26,2026-06-19,2026-11-16,32,1.23,Reorden,7.0,135,Seguro
Ciclofosfamida 1g,Oncológicos,70,76,14,2026-06-26,2026-06-18,2026-11-23,69,0.99,Reorden,8.0,142,Seguro
Cloruro de Potasio 20%,Insumos,80,74,3,2026-06-26,2026-06-17,2026-11-30,67,0.84,Activo,9.0,149,Seguro
Crema de Hidrocortisona,Tópicos,86,69,0,2026-06-26,2026-06-16,2026-12-07,63,0.73,Activo,10.0,156,Seguro
Dexametasona 4mg,Insumos,107,76,0,2026-06-26,2026-06-15,2026-12-14,69,0.64,Activo,11.0,163,Seguro
Dextrosa al 5%,Insumos,106,68,0,2026-06-26,2026-06-14,2026-12-21,61,0.58,Activo,12.0,170,Seguro
Doxorrubicina 50mg,Oncológicos,45,76,39,2026-07-17,2026-07-04,2026-12-28,69,1.53,Reorden,13.0,177,Seguro
Equipo de Venoclisis,Soporte,46,61,38,2026-07-06,2026-07-03,2027-01-04,55,1.2,Reorden,3.0,184,Seguro
Esparadrapo Micropore,Insumos,58,63,24,2026-07-06,2026-07-02,2027-01-11,58,1.0,Reorden,4.0,191,Seguro
Espesante de Alimentos,Nutrición,74,68,9,2026-07-06,2026-07-01,2027-01-18,62,0.84,Activo,5.0,198,Seguro
Fideos,Grains & Pulses,69,55,2,2026-07-06,2026-06-30,2027-01-25,50,0.72,Activo,6.0,205,Seguro
Formula Polimerica,Nutrición,69,49,10,2026-07-06,2026-06-29,2027-02-01,45,0.65,Activo,7.0,212,Seguro
Frejol canario,Grains & Pulses,87,55,0,2026-07-06,2026-06-28,2027-02-08,50,0.57,Activo,8.0,219,Seguro
Gasas Esteriles,Insumos,38,64,44,2026-07-06,2026-06-27,2027-02-15,58,1.53,Reorden,9.0,226,Seguro
Guantes Esteriles,Higiene,47,63,35,2026-07-06,2026-06-26,2027-02-22,57,1.21,Reorden,10.0,233,Seguro
Harina de trigo,Bakery,46,51,23,2026-07-06,2026-06-25,2027-03-01,46,1.0,Reorden,11.0,240,Seguro
Huevo de gallina,Dairy,56,52,14,2026-07-06,2026-06-24,2027-03-08,47,0.84,Activo,12.0,247,Seguro
Ibuprofeno Pediatrico,Analgesicos,84,68,0,2026-07-06,2026-06-23,2027-03-15,61,0.73,Activo,13.0,254,Seguro
Jabon Clorhexidina,Higiene,104,74,0,2026-06-25,2026-06-22,2027-03-22,67,0.64,Activo,3.0,261,Seguro
Jeringa 5ml,Soporte,111,70,0,2026-06-25,2026-06-21,2027-03-29,64,0.58,Activo,4.0,268,Seguro
Jurel,Seafood,26,44,44,2026-06-25,2026-06-20,2026-08-08,40,1.54,Reorden,5.0,35,Seguro
Leche evaporada,Dairy,36,48,31,2026-06-25,2026-06-19,2026-08-15,44,1.22,Reorden,6.0,42,Seguro
Lechuga,Fruits & Vegetables,37,41,28,2026-06-25,2026-06-18,2026-08-22,37,1.0,Reorden,7.0,49,Seguro
Lenteja,Grains & Pulses,59,55,11,2026-06-25,2026-06-17,2026-08-29,50,0.85,Activo,8.0,56,Seguro
Limon,Fruits & Vegetables,58,46,7,2026-06-25,2026-06-16,2026-09-05,42,0.72,Activo,9.0,63,Seguro
Llave de 3 vias,Soporte,106,75,0,2026-06-25,2026-06-15,2026-09-12,68,0.64,Activo,10.0,70,Seguro
Manzana,Fruits & Vegetables,96,61,0,2026-06-25,2026-06-14,2026-09-19,56,0.58,Activo,11.0,77,Seguro
Mascarilla N95 Pediatrica,Higiene,38,64,41,2026-07-16,2026-07-04,2026-09-26,58,1.53,Reorden,12.0,84,Seguro
Metotrexato 500mg,Oncológicos,58,77,26,2026-07-16,2026-07-03,2026-10-03,70,1.21,Reorden,13.0,91,Seguro
Naranja,Fruits & Vegetables,45,50,24,2026-07-05,2026-07-02,2026-10-10,45,1.0,Reorden,3.0,98,Seguro
Ondansetron 8mg,Antieméticos,59,55,25,2026-07-05,2026-07-01,2026-10-17,50,0.85,Activo,4.0,105,Seguro
Pan frances,Bakery,71,57,0,2026-07-05,2026-06-30,2026-10-24,52,0.73,Activo,5.0,112,Seguro
Papa blanca,Fruits & Vegetables,71,50,0,2026-07-05,2026-06-29,2026-10-31,46,0.65,Activo,6.0,119,Seguro
Paracetamol Jarabe,Analgesicos,102,65,0,2026-07-05,2026-06-28,2026-11-07,59,0.58,Activo,7.0,126,Seguro
Pechuga de pollo,Meat & Poultry,30,51,39,2026-07-05,2026-06-27,2026-11-14,46,1.53,Reorden,8.0,133,Seguro
Pediasure Plus 200ml,Nutrición,47,62,34,2026-07-05,2026-06-26,2026-11-21,57,1.21,Reorden,9.0,140,Seguro
Pescado bonito,Seafood,46,50,22,2026-07-05,2026-06-25,2026-11-28,45,0.98,Reorden,10.0,147,Seguro
Placas de Rayos X,Imágenes,60,55,20,2026-07-05,2026-06-24,2026-12-05,50,0.83,Activo,11.0,154,Seguro
Platano de seda,Fruits & Vegetables,64,52,3,2026-07-05,2026-06-23,2026-12-12,47,0.73,Activo,12.0,161,Seguro
Pollo entero,Meat & Poultry,72,51,0,2026-07-05,2026-06-22,2026-12-19,47,0.65,Activo,13.0,168,Seguro
Queso fresco,Dairy,75,48,0,2026-06-24,2026-06-21,2026-12-26,43,0.57,Activo,3.0,175,Seguro
Sal yodada,Pantry,29,49,36,2026-06-24,2026-06-20,2027-01-02,45,1.55,Reorden,4.0,182,Seguro
Sardina en conserva,Seafood,28,37,40,2026-06-24,2026-06-19,2027-01-09,34,1.21,Reorden,5.0,189,Seguro
Suero Fisiologico 500ml,Insumos,69,75,15,2026-06-24,2026-06-18,2027-01-16,68,0.99,Reorden,6.0,196,Seguro
Tomate,Fruits & Vegetables,64,59,7,2026-06-24,2026-06-17,2027-01-23,54,0.84,Activo,7.0,203,Seguro
Tubo Vacutainer (Lila),Laboratorio,88,71,0,2026-06-24,2026-06-16,2027-01-30,64,0.73,Activo,8.0,210,Seguro
Tubo Vacutainer (Rojo),Laboratorio,79,56,0,2026-06-24,2026-06-15,2027-02-06,51,0.65,Activo,9.0,217,Seguro
Vincristina 1mg,Oncológicos,120,77,0,2026-06-24,2026-06-14,2027-02-13,70,0.58,Activo,10.0,224,Seguro
Yuca,Fruits & Vegetables,31,53,40,2026-07-15,2026-07-04,2027-02-20,48,1.55,Reorden,11.0,231,Seguro
Zanahoria,Fruits & Vegetables,46,61,25,2026-07-15,2026-07-03,2027-02-27,55,1.2,Reorden,12.0,238,Seguro
